id,Familia
Verbascum sinuatum L.,Scrophulariaceae
Scabiosa atropurpurea L.,Dipsacaceae
Ranunculus bulbosus L.,Ranunculaceae
Vitex agnus-castus L.,Lamiaceae
Papaver rhoeas L.,Papaveraceae
Galactites tomentosus Moench,Asteraceae
Rubus ulmifolius Schott,Rosaceae
Hypochaeris radicata L.,Asteraceae
Dorycnium pentaphyllum Scop.,Fabaceae
Convolvulus althaeoides L.,Convolvulaceae
Hedysarum coronarium L.,Fabaceae
Erica manipuliflora Salisb.,Ericaceae
Lotus corniculatus L.,Fabaceae
Oxalis pes-caprae L.,Oxalidaceae
Carpobrotus edulis (L.) N.E.Br.,Aizoaceae
"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase",Orchidaceae
Bellardia trixago (L.) All.,Orobanchaceae
Anthemis maritima L.,Asteraceae
Sonchus acaulis Dum.Cours.,Asteraceae
Echium sabulicola Pomel,Boraginaceae
Lotus creticus L.,Fabaceae
Plantago lagopus L.,Plantaginaceae
Echium virescens DC.,Boraginaceae
Echium candicans L.f.,Boraginaceae
Vicia sativa L.,Fabaceae
Asphodelus ramosus L.,Asphodelaceae
Thymelaea velutina (Pourr. ex Cambess.) Endl.,Thymelaeaceae
Sonchus tenerrimus L.,Asteraceae
Scrophularia canina L.,Scrophulariaceae
Calicotome villosa (Poir.) Link,Fabaceae
Gladiolus dubius Guss.,Iridaceae
Pallenis spinosa (L.) Cass.,Asteraceae
Daucus carota L.,Apiaceae
Lavandula dentata L.,Lamiaceae
Echium plantagineum L.,Boraginaceae
Foeniculum vulgare Mill.,Apiaceae
Glebionis coronaria (L.) Cass. ex Spach,Asteraceae
Carlina corymbosa L.,Asteraceae
Stachys ocymastrum (L.) Briq.,Lamiaceae
Dorycnium hirsutum (L.) Ser.,Fabaceae
Digitalis purpurea L.,Plantaginaceae
Bituminaria bituminosa (L.) C.H.Stirt.,Fabaceae
Hypochaeris achyrophorus L.,Asteraceae
Launaea cervicornis (Boiss.) Font Quer & Rothm.,Asteraceae
Lotus dorycnium L.,Fabaceae
Ononis ramosissima Desf.,Fabaceae
