imagen,xmin,ymin,xmax,ymax,categoría
00068ee5e4632cf05be16306f00aa51b.jpg,327,424,660,881,2
000f76f32b813c5429385c902a99f5d2.jpg,581,340,803,504,0
0065808ec8a40acb4dbaf1a855045a1b.jpg,766,138,993,462,0
00720ef5141a225e95a973c785e5292b.jpg,338,291,978,827,0
00ad5ae0ef6fe82cad95e54e8f478857.jpg,226,162,1054,706,5
00baa9481f6e5ab0651edf4d04da664c.jpg,360,247,993,831,0
01204afe7194a9a98cd57bb629877716.jpg,554,312,1095,649,0
013461eac6df1374f282d1678c79e26b.jpg,611,184,1178,472,0
027f39558776c5ae38f2fb7f3e552eb7.jpg,541,325,1111,962,0
02d56963d2a4e726e275a8762774a0c0.jpg,421,207,1043,962,0
0459392f7485929a8ff8b7b6948a323c.jpg,438,415,647,721,3
045e05bf692b25c0ea892c66ec6a358e.jpg,289,444,797,828,6
0465f7be5e46d9694d2c3da568ba3f1e.jpg,78,257,1003,962,0
058d6d6120112fa571d3d2f4701d4247.jpg,246,85,558,344,0
059b4e98acba4301d57a929e35c8fc27.jpg,212,109,1125,962,0
05a18780e02c827e037fbe2890e1a1d2.jpg,462,321,830,711,3
069cd8d61907b3277452b74b606af186.jpg,560,383,735,614,0
077bffb11c5ead6c18fcfaf277f6eff6.jpg,401,466,1098,962,0
07ae13ee8f8356d7a5632952987a81c5.jpg,799,345,1182,734,1
092a5dc969d692d905291cf9be346fa5.jpg,395,221,870,811,5
0ab30af2aefb4a1f5c5cda2dd7329a75.jpg,352,29,1139,572,0
0b5df3a07badcde3ab145c3ed3e3ba1c.jpg,387,64,894,464,0
0c09f4425b04542faaecf557c6665551.jpg,465,250,823,698,0
0cceefc662a55e950e2d2a1e667e9d1f.jpg,365,228,951,962,0
0d19e2aa31fb021582cb4b6a3a30e5f9.jpg,83,442,1109,962,5
0d281b9916d7d22f9496394555166c11.jpg,368,334,976,822,0
0eaa34168e028c8e13c5ceedcda9197a.jpg,121,219,1096,953,0
0f00f64570cc749596722662d4ce0096.jpg,279,399,645,618,0
0f240c416b93e7ab9d7245aedb436064.jpg,177,251,852,962,0
