imagen,id,nombres
00068ee5e4632cf05be16306f00aa51b.jpg,Verbascum sinuatum L.,"['Wavy-leaved Mullein', 'Black-leaved mullein', 'Wavyleaf mullein']"
000f76f32b813c5429385c902a99f5d2.jpg,Daucus carota L.,"[""Queen Anne's lace"", 'Wild Carrot', 'Carrot']"
0065808ec8a40acb4dbaf1a855045a1b.jpg,Scabiosa atropurpurea L.,"['Pincushions', 'Mournful-widow', 'Purple pincushion']"
00720ef5141a225e95a973c785e5292b.jpg,Ranunculus bulbosus L.,"['Bulbous buttercup', 'Bulbous crowfoot', 'Buttercup']"
00ad5ae0ef6fe82cad95e54e8f478857.jpg,,
00baa9481f6e5ab0651edf4d04da664c.jpg,Galactites tomentosus Moench,"['Mediterranean Thistle', 'Purple Milk Thistle', 'Boar Thistle']"
01204afe7194a9a98cd57bb629877716.jpg,Vitex agnus-castus L.,"['Lilac chastetree', 'Butterfly Bush', 'Chasteberry']"
013461eac6df1374f282d1678c79e26b.jpg,Papaver rhoeas L.,"['Common poppy', 'Field Poppy', 'Shirley poppy']"
027f39558776c5ae38f2fb7f3e552eb7.jpg,Galactites tomentosus Moench,"['Mediterranean Thistle', 'Purple Milk Thistle', 'Boar Thistle']"
02d56963d2a4e726e275a8762774a0c0.jpg,Rubus ulmifolius Schott,"['Elmleaf blackberry', 'Common Bramble', 'Elm-leaf blackberry']"
0459392f7485929a8ff8b7b6948a323c.jpg,Launaea cervicornis (Boiss.) Font Quer & Rothm.,[]
045e05bf692b25c0ea892c66ec6a358e.jpg,Carduus tenuiflorus Curtis,"['Slender thistle', 'Slender-flower thistle', 'Sheep thistle']"
0465f7be5e46d9694d2c3da568ba3f1e.jpg,Echium sabulicola Pomel,"[""Sand Viper's Gloss""]"
058d6d6120112fa571d3d2f4701d4247.jpg,Hypochaeris radicata L.,"['Wild dandelion', ""Cat's-ear"", 'False Dandelion']"
059b4e98acba4301d57a929e35c8fc27.jpg,,
05a18780e02c827e037fbe2890e1a1d2.jpg,,
069cd8d61907b3277452b74b606af186.jpg,Galactites tomentosus Moench,"['Mediterranean Thistle', 'Purple Milk Thistle', 'Boar Thistle']"
077bffb11c5ead6c18fcfaf277f6eff6.jpg,Dorycnium pentaphyllum Scop.,"['Badassi', 'Socarrillo', 'Sulițică']"
07ae13ee8f8356d7a5632952987a81c5.jpg,Carlina corymbosa L.,['Corymbose Carline-thistle']
092a5dc969d692d905291cf9be346fa5.jpg,,
0ab30af2aefb4a1f5c5cda2dd7329a75.jpg,,
0b5df3a07badcde3ab145c3ed3e3ba1c.jpg,Galactites tomentosus Moench,"['Mediterranean Thistle', 'Purple Milk Thistle', 'Boar Thistle']"
0c09f4425b04542faaecf557c6665551.jpg,Convolvulus althaeoides L.,"['Mallow-leaf bindweed', 'Mallow bindweed', 'Mallow-leaved Bindweed']"
0cceefc662a55e950e2d2a1e667e9d1f.jpg,Ranunculus cortusifolius Willd.,"['Azores buttercup', 'Morgallana']"
0d19e2aa31fb021582cb4b6a3a30e5f9.jpg,,
0d281b9916d7d22f9496394555166c11.jpg,Hedysarum coronarium L.,"['French Honeysuckle', 'Italian Sainfoin', ""Cock's-head""]"
0eaa34168e028c8e13c5ceedcda9197a.jpg,Erica manipuliflora Salisb.,"['Heather', 'Autumn Heather']"
0f00f64570cc749596722662d4ce0096.jpg,Hypochaeris radicata L.,"['Wild dandelion', ""Cat's-ear"", 'False Dandelion']"
0f240c416b93e7ab9d7245aedb436064.jpg,Lotus corniculatus L.,"[""Bird's-foot-trefoil"", ""Common Bird's-foot-trefoil"", ""Common bird's-foot trefoil""]"
12e4fdc9ba42d5107e7fcd2454d85416.jpg,,
1372c16e0fd98308eaa7093e3755089c.jpg,Oxalis pes-caprae L.,"['Bermuda-buttercup', 'South African wood-sorrel', 'Drooping wood-sorrel']"
13d907e8e7445657265c3ad7635db877.jpg,Carlina corymbosa L.,['Corymbose Carline-thistle']
13e673a35bcd07d650490e99d9d892ff.jpg,Euphorbia pithyusa L.,['Pithyusan Spurge']
13edd164b8c45d69ca19aef7ecd402b7.jpg,Carpobrotus edulis (L.) N.E.Br.,"['Freeway iceplant', 'Hottentot-fig', 'Ice plant']"
155d17e7193f74170873b4cef8032e0b.jpg,,
162b7cce9ff678c60f6781b725369af4.jpg,Vitex agnus-castus L.,"['Lilac chastetree', 'Butterfly Bush', 'Chasteberry']"
19498c22f878c055fa3cde48ea848642.jpg,,
1997394105f5c1f386977162eb1e8f7b.jpg,"Anacamptis coriophora (L.) R.M.Bateman, Pridgeon & M.W.Chase","['Fragrant orchid', 'Orchids', 'Bug Orchis']"
19a577da74e1405c17bf62e1444a5c97.jpg,,
1ac587b6ee689727de2c5e89845d38b8.jpg,Bellardia trixago (L.) All.,"['Mediterranean lineseed', 'Trixago Bartsia']"
1b95755fbeb101b594839b99e325e950.jpg,Erica manipuliflora Salisb.,"['Heather', 'Autumn Heather']"
1cbd765c8b37cef42601b3fb070d2f19.jpg,,
1e0a955a6897597fd5386d3477c945bb.jpg,Limbarda crithmoides (L.) Dumort.,['Golden samphire']
1ec68bee5b098fbedaa344567b726f8c.jpg,Cistus salviifolius L.,"['Sage-leaved Cistus', 'Sage-leaf rock-rose', 'Salvia cistus']"
1f27fae92195704ab5e9a0d39377d25a.jpg,,
1f52bc2f955f2fa6742edecffd2a0406.jpg,Hedysarum coronarium L.,"['French Honeysuckle', 'Italian Sainfoin', ""Cock's-head""]"
20.04.22.29A20.04.22.29B.JPG,Anthemis maritima L.,['Seaside Chamomile']
20.04.22.29A20.04.22.29C.JPG,Anthemis maritima L.,['Seaside Chamomile']
20.04.22.39.JPG,Anthemis maritima L.,['Seaside Chamomile']
20.04.23.19.JPG,Hyoseris radiata L.,['Perennial Hyoseris']
20.04.23.36.JPG,Anthemis maritima L.,['Seaside Chamomile']
20.04.23.41.JPG,Anthemis maritima L.,['Seaside Chamomile']
20.04.23.46.JPG,Anthemis maritima L.,['Seaside Chamomile']
20.04.23.56.JPG,Anthemis maritima L.,['Seaside Chamomile']
20.04.23.57.JPG,Anthemis maritima L.,['Seaside Chamomile']
20210317_122450.jpg,Sonchus acaulis Dum.Cours.,"['Gnavya', 'Gnavya (నవ్య)']"
20210317_122455.jpg,Sonchus acaulis Dum.Cours.,"['Gnavya', 'Gnavya (నవ్య)']"
20210317_122459.jpg,Sonchus acaulis Dum.Cours.,"['Gnavya', 'Gnavya (నవ్య)']"
20210317_122505.jpg,Sonchus acaulis Dum.Cours.,"['Gnavya', 'Gnavya (నవ్య)']"
20210317_122512.jpg,Sonchus acaulis Dum.Cours.,"['Gnavya', 'Gnavya (నవ్య)']"
20210329_113145.jpg,Echium sabulicola Pomel,"[""Sand Viper's Gloss""]"
20210329_113146.jpg,Echium sabulicola Pomel,"[""Sand Viper's Gloss""]"
20210329_113148.jpg,Echium sabulicola Pomel,"[""Sand Viper's Gloss""]"
20210329_113149.jpg,Echium sabulicola Pomel,"[""Sand Viper's Gloss""]"
20210329_113150.jpg,Echium sabulicola Pomel,"[""Sand Viper's Gloss""]"
20210329_113151.jpg,Echium sabulicola Pomel,"[""Sand Viper's Gloss""]"
